permutation_index,null_statistic
1,0.007017242008952922
2,-0.005111049731544491
3,-0.00808144107674846
4,-0.004522721561444485
5,0.0011774831385643614
6,-0.0003205039920542718
7,0.001854182725518374
8,0.001524947222662644
9,0.0008678044489690388
10,0.0006911943220505312
11,-0.001292574958820139
12,-0.008541215490000444
13,0.0006350534764026586
14,-0.000585935115399918
15,-0.00581763280848667
16,-0.0003017184627450119
17,-0.010811232216319723
18,0.001893347610358323
19,-0.0095138287731149
20,-0.00477094130177446
21,-0.0037433249589103323
22,-0.007419322466468217
23,0.002459600076761083
24,0.001843587238464086
25,0.0014046218481484976
26,-0.01467681253506289
27,-0.004659306403393525
28,0.0005375822712626009
29,0.0012237296053995463
30,0.0012013597296016212
31,0.005275093807671848
32,0.006429708327167338
33,-0.004009550628732476
34,0.003025619219906968
35,-0.002426812995107254
36,-0.0045812465780034894
37,0.004507589787879088
38,0.0021714493089148024
39,-0.003970108126253119
40,-0.0015833650047545854
41,0.0016312191158351433
42,-0.0012900265455766946
43,-0.0067598820849222585
44,0.0013243613406137833
45,-0.009586701211663128
46,-0.0008788982966289154
47,-0.0043792714927102586
48,-0.0036704071314883763
49,-0.004156118780903634
50,-0.005539055711915736
51,-0.005191081913402847
52,-0.0032042026948206036
53,-0.0044311814744545305
54,-0.004139943438881567
55,0.0007983451657664932
56,0.001694914270942302
57,0.0005933686314315394
58,-0.001172632935245263
59,-0.005805760042804479
60,-0.001044132368164502
61,-0.00540875908659302
62,-0.0026345931101619084
63,-0.00114038558272158
64,-6.290071016382473e-05
65,-0.007215349707915479
66,-0.0023032213256593305
67,-0.004173993135886615
68,0.004383579089708933
69,-0.003727586344881538
70,0.005042275337520469
71,0.0017371191448195614
72,-0.003520002743133119
73,0.00034738644673489374
74,0.00017752380568815743
75,-0.0035762305444235823
76,0.00017098911671416944
77,-0.0002888771234510895
78,-0.004738568471652726
79,-0.0007112081260594802
80,0.004207689113552907
81,9.99149302391214e-05
82,0.0018150855531089034
83,-0.0035531986314638435
84,0.0009474428434362685
85,-0.006151955334660838
86,-0.0008997721768713718
87,-0.00518179491029808
88,-0.0030748591319336785
89,-0.0020519942960433267
90,0.0007627617496048546
91,-0.0035469929378691353
92,0.004779929968454742
93,0.000412484615977194
94,-0.0008015492122558122
95,0.0025922456565419146
96,-0.005857248558660991
97,-0.004189982323980544
98,-0.008544617002161688
99,0.0035200407725408216
100,-0.0011513745393874897
101,-0.005425910702072344
102,0.0018364896815186646
103,-0.002307071546397317
104,-0.008435828574820718
105,-0.004129223923425289
106,-0.0013427860355955529
107,-0.0011424544324739536
108,-0.0014565703141004999
109,-0.0050783398434302435
110,0.0013018866173358686
111,0.0018849509573225093
112,0.0039479872117837295
113,-0.015264764792953238
114,-0.003643935613493847
115,0.0006539903314657473
116,-0.004947011215650193
117,-0.007659315213798687
118,-0.009984621581336263
119,0.007386224170264941
120,-0.002755064581227165
121,-0.0005383150057388965
122,0.0014878246857353665
123,0.00047425166400202196
124,-0.012111955721522228
125,-0.0007668966390328817
126,-0.005734565608587969
127,-0.006271007934414263
128,-0.0026304931596585965
129,0.0030046367397636095
130,-0.0014110631588121342
131,-0.005259227250759085
132,-0.0016459765993472458
133,-0.007793639963940415
134,-0.003571385284886198
135,-0.007717238640833412
136,0.0008420724141643895
137,-0.0020083696730703385
138,-0.00047187733229235584
139,-0.010542250747368795
140,0.0006778337307419766
141,-0.001327789175916267
142,-0.009626993224110841
143,-0.00729302790525773
144,-0.006051039187752558
145,-0.002363086946805041
146,-0.002052790409760138
147,-0.003877245445351552
148,0.008387553929741665
149,-0.008034337102022539
150,-0.009616286348722723
151,-0.005606004306874773
152,0.00593199092789962
153,-0.0006133797110319458
154,0.0007217771878367668
155,-0.002878783010455646
156,-0.007635793112694581
157,-0.007908438634896563
158,0.0013735734872876958
159,-0.00048702568538190605
160,-0.009367946707299148
161,0.003993066139004964
162,-0.004302299570637151
163,0.003942624769881067
164,0.00417901212865527
165,-0.0025657265723983275
166,-0.0005252588509572567
167,-0.003428145620668059
168,-0.0020951210121926828
169,0.0041507901976309824
170,-0.002205891276339817
171,0.00214981997256751
172,-0.0009169876884081336
173,-0.0025091515491829364
174,0.0024353827226525904
175,-0.006435184487414043
176,-0.009345608394184059
177,0.006516785494027115
178,-0.00368121142497526
179,0.0006793072263125942
180,0.00045791391722874164
181,-0.0022835099559267123
182,-0.0055644214953426245
183,-0.0011864173613568944
184,0.006052260050740839
185,0.003045023431521767
186,-0.001182721265643432
187,0.007389094354027088
188,-0.006408230080623283
189,0.00104567708355216
190,-0.001280398178044373
191,0.00021997860300743827
192,-0.0021401555734018134
193,-0.0070298381283906
194,-0.006395790650773857
195,0.0010821757458470138
196,-0.0055763510787346995
197,0.002721303047871739
198,-4.0262787113158616e-05
199,0.006205556349748384
200,-0.004572659766779591
201,0.0022326856026649855
202,0.008331600036476223
203,-0.004259541479933588
204,-0.0046380939531790455
205,0.00033062699375196666
206,-0.008126937525377291
207,-0.003808612259406881
208,-0.003646572673414304
209,-0.00040873528586077984
210,0.0007822223962436863
211,-0.0027777132162319605
212,-0.003487541487222818
213,7.770509790492458e-05
214,-0.0017553853308706173
215,-0.00782784823430466
216,-0.004871841403856738
217,-0.003973516391245591
218,-0.002083714500128432
219,0.003400789909266934
220,-0.003975867358875146
221,-0.006589922450769281
222,-0.00044843805695974834
223,-0.004785771553083268
224,-0.01345168731621407
225,0.0004687918528432748
226,-0.011158999604504304
227,-0.006879322797836436
228,-0.0010880504815939142
229,0.0038894596432792403
230,-0.0025694983829826976
231,0.004658459154979529
232,-0.001806095773216436
233,-0.008997829078895011
234,0.0003405660862450463
235,-0.005321570050735577
236,-0.0026068829802908117
237,0.006466017460922874
238,-0.005983775542875679
239,-0.0038621619951053933
240,-0.003115246282164287
241,-0.004267845374740269
242,0.0029513457872342025
243,-0.0026777978543153468
244,-0.00018872776798621593
245,-0.0028426773831803816
246,-0.003901887149079332
247,0.0007608990460237566
248,0.0014400321334033274
249,0.0072266702055383755
250,-0.0027738059585698423
251,0.002829472910588573
252,-0.0006170846943668838
253,-0.00483893404835516
254,-0.007094249361489828
255,-0.0017135638536027314
256,-0.00859015636148858
257,-0.002720756350957816
258,0.0034734267888517564
259,-0.003143639785770501
260,0.0015561207209141177
261,-0.002027730820436075
262,-0.006559877097112567
263,-0.0036894227635918264
264,-0.003168864717333065
265,-0.0004408505251839584
266,-0.009462300944894697
267,-0.0035803578748792725
268,-0.00595502708711634
269,-0.003338274681601012
270,-0.0003268660502987013
271,-0.0011894801083654205
272,-0.004105506258539327
273,-0.00027311743456044993
274,0.005754597401097752
275,-0.006419308687415543
276,0.0008110180929721163
277,-0.007212022640029077
278,-0.0005631027076422081
279,-0.013889083650471992
280,-0.002959101379828896
281,0.0037609994256127335
282,-0.0022971269449634027
283,-0.010351888605062271
284,0.002496213115345279
285,-0.0008113782143614363
286,-0.0015225604276866388
287,-0.0023162078779924607
288,0.0005843269264416903
289,-0.006533000141315481
290,-0.009908795118891214
291,-0.0030605976918377867
292,0.0007777305487472533
293,-0.0009348340570336997
294,-0.009280565626882085
295,0.0024380868104220688
296,-0.009162938155183872
297,-0.004276264954496206
298,-0.004215051540887176
299,-0.00897234745346337
300,-0.004354827070849398
301,0.002195351918597002
302,-0.003993254417628874
303,-0.0021570550576278935
304,0.006403019226800685
305,-0.00037418802704901333
306,-0.005195858328162675
307,-0.002486726370080884
308,-0.009287240765717193
309,-0.005585152914966193
310,0.0035254617393040005
311,-0.001597839620366543
312,-0.0005677762853925003
313,0.008704793806641159
314,-0.004560484772877609
315,0.0010245039542991982
316,0.001869860795537609
317,-0.0043721514924495095
318,-0.0028307430199689745
319,-0.003606824198899433
320,-0.0018093438051813293
321,-0.0011357645958482258
322,-0.0022189834506014215
323,-0.00045260169514080295
324,-0.008248864869556238
325,-0.003993684808260806
326,0.0001841577731613933
327,0.0018194981149272926
328,-0.006175566734272501
329,0.004089627350896734
330,-0.004855825228715346
331,-0.00848933566646689
332,-0.001679876685391251
333,0.004670689829068406
334,0.0023486994647859694
335,0.006507081120280048
336,0.002060482861951367
337,-0.007846458452728383
338,-0.0026510154034693582
339,0.007076776736178545
340,-0.0015843854969391363
341,-0.0024947815257555205
342,-0.0028007498850625354
343,0.000747484703077398
344,-0.0005751718024300453
345,-0.0020781367254505793
346,-0.0027969738289597007
347,0.0067650206339290656
348,0.0006696095402505021
349,0.000699829368914287
350,-0.0016453015681216765
351,-0.002786986679793872
352,-0.00231981089634644
353,-0.007004693710964124
354,0.006972442312247695
355,-0.004692381172370454
356,0.005581159594419169
357,-0.0006668292988376706
358,-0.00041465436982113593
359,-0.0046566119906899725
360,0.010578284822535026
361,-0.0007176380349291703
362,-0.00020816634149503632
363,0.00030576529024942817
364,-0.0038006990532548843
365,-0.004287542376024724
366,-0.00652486124136472
367,-0.00021520988297442367
368,0.0035272195013887515
369,-0.0029892226198384234
370,0.0025739798791283644
371,0.0006890893141783191
372,-0.0036648119247618613
373,0.004221117110452942
374,-0.005498901383249016
375,0.004290133986957465
376,-0.003693654096188319
377,0.0012757547321751751
378,0.0015989582176279271
379,0.0021936079807503006
380,-0.005221698234816621
381,0.004337070439748465
382,0.0010803465007854784
383,-0.0036437523014003805
384,-0.0032455849363219706
385,-0.003534352126819202
386,-0.011230973401213293
387,0.001356475132471495
388,-0.005989345851097783
389,-0.0022543334366110744
390,-0.0011988572600627814
391,-0.001723265902255966
392,0.0003938754069451357
393,-0.0040956350939829154
394,-0.009500138469828823
